ProgramKodu	Universite	Fakulte	Program	OgrenimSuresi	PuanTuru	GenelEkKontenjan	SehitGaziYakiniEkKontenjan	Kadin34EkKontenjan	DepremzedeEkKontentan	OzelKosulVeAciklamalar	GenelEnKucukPuan	SehitGaziEnKucukPuan	Kadin34EnKucukPuan	DepremzedeEnKucukPuan
110410349	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Bilişim Teknolojileri Meslek Yüksekokulu	  Arka-Yüz Yazılım Geliştirme (KKTC Uyruklu)	2	TYT	1				5, 320				
110410286	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Bilişim Teknolojileri Meslek Yüksekokulu	  Bulut Bilişim Operatörlüğü	2	TYT	4				320	306.44961			
110410356	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Bilişim Teknolojileri Meslek Yüksekokulu	  Bulut Bilişim Operatörlüğü (KKTC Uyruklu)	2	TYT	1				5, 320				
110410293	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Bilişim Teknolojileri Meslek Yüksekokulu	  Büyük Veri Analistliği	2	TYT			1		320			198.37089	
110410363	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Bilişim Teknolojileri Meslek Yüksekokulu	  Büyük Veri Analistliği (KKTC Uyruklu)	2	TYT	1				5, 320				
110410370	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Bilişim Teknolojileri Meslek Yüksekokulu	  Kurumsal Bilişim Uzmanlığı	2	TYT	2				320	305.80932			
110410300	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Bilişim Teknolojileri Meslek Yüksekokulu	  Ön-Yüz Yazılım Geliştirme	2	TYT	1				320	311.9289			
110410377	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Bilişim Teknolojileri Meslek Yüksekokulu	  Ön-Yüz Yazılım Geliştirme (KKTC Uyruklu)	2	TYT	1				5, 320				
110410384	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Bilişim Teknolojileri Meslek Yüksekokulu	  Yapay Zeka Operatörlüğü	2	TYT	3				320	334.13166			
110410391	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Bilişim Teknolojileri Meslek Yüksekokulu	  Yapay Zeka Operatörlüğü (KKTC Uyruklu)	2	TYT	1				5, 320				
100290102	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Besni Ali Erdemoğlu Meslek Yüksekokulu	  Bankacılık ve Sigortacılık	2	TYT	6			1		267.5564			265.9308
100290116	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Besni Ali Erdemoğlu Meslek Yüksekokulu	  Bilgisayar Programcılığı	2	TYT	4			1		263.62476			261.9635
100290123	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Besni Ali Erdemoğlu Meslek Yüksekokulu	  Büro Yönetimi ve Yönetici Asistanlığı	2	TYT	4					263.89363			
100290130	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Besni Ali Erdemoğlu Meslek Yüksekokulu	  İşletme Yönetimi	2	TYT	7					247.40035			
100290137	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Besni Ali Erdemoğlu Meslek Yüksekokulu	  Mekatronik	2	TYT	7			1		263.10177			260.27939
100290144	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Besni Ali Erdemoğlu Meslek Yüksekokulu	  Muhasebe ve Vergi Uygulamaları	2	TYT	7					254.77148			
100290070	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Gölbaşı Meslek Yüksekokulu	  Bankacılık ve Sigortacılık	2	TYT	4				315	257.05272			
100250476	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Gölbaşı Meslek Yüksekokulu	  Bilgisayar Programcılığı	2	TYT	7			1	315	257.99688			257.58509
100250591	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Gölbaşı Meslek Yüksekokulu	  Büro Yönetimi ve Yönetici Asistanlığı	2	TYT	2				315	264.1438			
100290056	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Gölbaşı Meslek Yüksekokulu	  İş Sağlığı ve Güvenliği	2	TYT	6				315	278.53121			
100250422	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Gölbaşı Meslek Yüksekokulu	  İşletme Yönetimi	2	TYT	9			1	315	244.75499			243.00187
100250767	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Gölbaşı Meslek Yüksekokulu	  Lojistik	2	TYT	8			1	315	242.11894			241.17833
100250388	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Gölbaşı Meslek Yüksekokulu	  Muhasebe ve Vergi Uygulamaları	2	TYT	2				315	246.8121			
100250555	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Gölbaşı Meslek Yüksekokulu	  Yerel Yönetimler	2	TYT	6			1	315	240.95561			240.08184
100250713	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Kahta Meslek Yüksekokulu	  Bahçe Tarımı	2	TYT	5		1			239.3918		230.22704	
100250652	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Kahta Meslek Yüksekokulu	  Bankacılık ve Sigortacılık	2	TYT	4					258.41329			
100250485	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Kahta Meslek Yüksekokulu	  Bilgisayar Programcılığı	2	TYT	4		1	1		265.22337		217.74584	263.38287
100250194	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Kahta Meslek Yüksekokulu	  Harita ve Kadastro	2	TYT	6			1		272.56097			271.71379
100250625	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Kahta Meslek Yüksekokulu	  Laborant ve Veteriner Sağlık	2	TYT	7					286.50724			
100250397	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Kahta Meslek Yüksekokulu	  Muhasebe ve Vergi Uygulamaları	2	TYT	4			1		247.96674			247.0696
100250228	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Kahta Meslek Yüksekokulu	  Tarla Bitkileri	2	TYT	8					248.58114			
100250722	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Kahta Meslek Yüksekokulu	  Turizm ve Seyahat Hizmetleri	2	TYT	6			1		249.69954			248.69295
100250246	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Sağlık Hizmetleri Meslek Yüksekokulu	  Çocuk Gelişimi	2	TYT	2					311.79199			
100250749	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Sağlık Hizmetleri Meslek Yüksekokulu	  İlk ve Acil Yardım	2	TYT	2					360.24824			
100250731	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Sağlık Hizmetleri Meslek Yüksekokulu	  Optisyenlik	2	TYT	6					315.5551			
100250616	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Sağlık Hizmetleri Meslek Yüksekokulu	  Patoloji Laboratuvar Teknikleri	2	TYT	2					328.35089			
100250291	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Sosyal Bilimler Meslek Yüksekokulu	  Aşçılık	2	TYT	7			1		292.68619			290.37566
100250697	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Sosyal Bilimler Meslek Yüksekokulu	  Dış Ticaret	2	TYT	4			1		253.37216			251.54842
100250404	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Sosyal Bilimler Meslek Yüksekokulu	  İşletme Yönetimi	2	TYT	3					257.20382			
100250034	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Sosyal Bilimler Meslek Yüksekokulu	  Kooperatifçilik	2	TYT	3					238.10029			
100250361	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Sosyal Bilimler Meslek Yüksekokulu	  Muhasebe ve Vergi Uygulamaları	2	TYT	2					278.11666			
100250758	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Sosyal Bilimler Meslek Yüksekokulu	  Özel Güvenlik ve Koruma	2	TYT	4				2	287.41302			
100250079	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Sosyal Bilimler Meslek Yüksekokulu	  Pazarlama	2	TYT	5		1			248.58663		234.94498	
100250104	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Sosyal Bilimler Meslek Yüksekokulu	  Turizm ve Otel İşletmeciliği	2	TYT	4			1		265.16702			263.79051
100250494	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Teknik Bilimler Meslek Yüksekokulu	  Bilgisayar Programcılığı	2	TYT	7					294.24968			
100250264	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Teknik Bilimler Meslek Yüksekokulu	  Elektrik	2	TYT	3					296.34643			
100250273	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Teknik Bilimler Meslek Yüksekokulu	  Gıda Teknolojisi	2	TYT	4			1		258.6937			254.44578
100250634	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Teknik Bilimler Meslek Yüksekokulu	  Giyim Üretim Teknolojisi	2	TYT	8			1		241.37016			239.78616
100250431	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Teknik Bilimler Meslek Yüksekokulu	  İnşaat Teknolojisi	2	TYT	4					282.92061			
100250679	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Teknik Bilimler Meslek Yüksekokulu	  Kimya Teknolojisi	2	TYT	2					265.02846			
100250519	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Teknik Bilimler Meslek Yüksekokulu	  Makine	2	TYT	2		1			276.20861		205.75655	
100250043	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Teknik Bilimler Meslek Yüksekokulu	  Mimari Dekoratif Sanatlar	2	TYT	4			1		248.93896			248.24326
100250052	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Teknik Bilimler Meslek Yüksekokulu	  Mobilya ve Dekorasyon	2	TYT	6			1		244.27341			242.54937
100250352	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Teknik Bilimler Meslek Yüksekokulu	  Sondaj Teknolojisi	2	TYT	1					268.42338			
100490312	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  Alternatif Enerji Kaynakları Teknolojisi	2	TYT	4		1			270.67714		238.57407	
100450014	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  Aşçılık	2	TYT	8					302.1781			
100450226	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  Biyomedikal Cihaz Teknolojisi	2	TYT	1					300.12242			
100451772	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  Büro Yönetimi ve Yönetici Asistanlığı	2	TYT	2					292.8198			
100490179	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  Çocuk Gelişimi	2	TYT	6					311.39207			
100450041	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  Elektrik	2	TYT	1					302.25656			
100451506	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  Elektronik Teknolojisi	2	TYT	5		1			294.55005		218.37966	
100451296	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  Et ve Ürünleri Teknolojisi	2	TYT	9					245.18345			
100450077	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  Gıda Teknolojisi	2	TYT	4		1			285.40136		257.72455	
100490235	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  Hibrid ve Elektrikli Taşıtlar Teknolojisi	2	TYT	5					307.63371			
100490185	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  İç Mekan Tasarımı	2	TYT	2					287.92975			
100451445	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  İnşaat Teknolojisi	2	TYT	7					278.77421			
100451348	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  İşletme Yönetimi	2	TYT	3					280.384			
100490210	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  Mermer Teknolojisi	2	TYT	5					251.38205			
100451224	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  Mimari Restorasyon	2	TYT	5					269.40025			
100451233	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  Muhasebe ve Vergi Uygulamaları	2	TYT	3					289.85683			
100450138	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  Pazarlama	2	TYT	4					267.6411			
100452028	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  Raylı Sistemler Yol Teknolojisi	2	TYT	2				6	299.7631			
100450174	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  Turizm ve Otel İşletmeciliği	2	TYT	8					276.89482			
100450183	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Afyon Meslek Yüksekokulu	  Yerel Yönetimler	2	TYT	6					260.12487			
100451145	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Başmakçı Meslek Yüksekokulu	  Bankacılık ve Sigortacılık	2	TYT	6		1		326	259.05863		200.45267	
100490208	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Başmakçı Meslek Yüksekokulu	  Dış Ticaret	2	TYT	3				326	244.37792			
100451499	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Bayat Meslek Yüksekokulu	  İnsan Kaynakları Yönetimi	2	TYT	6		1			257.12806		246.60923	
